"","acct_id_code","merchant_code","score","offer"
"107",199,"M3172",0.2,"Yes"
"108",199,"M3342",0.09,"Yes"
"109",199,"M3437",0.04,"Yes"
"110",199,"M3456",0.17,"Yes"
"111",199,"M382",0.04,"No"
"112",199,"M3868",0.03,"No"
"113",228,"M1008",0,"No"
"114",228,"M1707",0,"No"
"115",228,"M1883",0,"No"
"116",228,"M2168",0.29,"Yes"
"117",228,"M2203",0,"No"
"118",228,"M2493",0,"No"
"119",228,"M3123",0.02,"Yes"
"120",228,"M3126",0,"No"
"121",228,"M3172",0.18,"Yes"
"122",228,"M3342",0.06,"Yes"
"123",228,"M3437",0.01,"No"
"124",228,"M3456",0.22,"Yes"
"125",228,"M382",0,"No"
"126",228,"M3868",0.02,"No"
"127",237,"M1008",0.24,"No"
"128",237,"M1707",0,"No"
"129",237,"M1883",0.01,"No"
"130",237,"M2168",0.62,"Yes"
"131",237,"M2203",0,"No"
"132",237,"M2493",0,"No"
"133",237,"M3123",0.07,"No"
"134",237,"M3126",0.01,"No"
"135",237,"M3172",0.44,"Yes"
"136",237,"M3342",0.39,"Yes"
"137",237,"M3437",0.45,"Yes"
"138",237,"M3456",0.29,"Yes"
"139",237,"M382",0.19,"No"
"140",237,"M3868",0.04,"No"
"141",282,"M1008",0.01,"No"
"142",282,"M1707",0,"No"
"143",282,"M1883",0.01,"No"
"144",282,"M2168",0.14,"Yes"
"145",282,"M2203",0,"No"
"146",282,"M2493",0.01,"No"
"147",282,"M3123",0.02,"No"
"148",282,"M3126",0,"No"
"149",282,"M3172",0.23,"Yes"
"150",282,"M3342",0,"No"
"151",282,"M3437",0,"No"
"152",282,"M3456",0.2,"Yes"
"153",282,"M382",0.02,"Yes"
"154",282,"M3868",0.02,"Yes"
"155",288,"M1008",0.02,"No"
"156",288,"M1707",0,"No"
"157",288,"M1883",0.01,"No"
"158",288,"M2168",0.68,"Yes"
"159",288,"M2203",0.01,"No"
"160",288,"M2493",0,"No"
"161",288,"M3123",0.07,"No"
"162",288,"M3126",0.01,"No"
"163",288,"M3172",0.52,"Yes"
"164",288,"M3342",0.65,"Yes"
"165",288,"M3437",0.12,"Yes"
"166",288,"M3456",0.06,"No"
"167",288,"M382",0.23,"Yes"
"168",288,"M3868",0.07,"No"
"169",325,"M1008",0.02,"Yes"
"170",325,"M1707",0,"No"
"171",325,"M1883",0,"No"
"172",325,"M2168",0.08,"Yes"
"173",325,"M2203",0,"No"
"174",325,"M2493",0,"No"
"175",325,"M3123",0.02,"No"
"176",325,"M3126",0,"No"
"177",325,"M3172",0.12,"Yes"
"178",325,"M3342",0.04,"Yes"
"179",325,"M3437",0.01,"No"
"180",325,"M3456",0.08,"Yes"
"181",325,"M382",0.02,"No"
"182",325,"M3868",0.01,"No"
"183",353,"M1008",0.02,"No"
"184",353,"M1707",0.12,"No"
"185",353,"M1883",0,"No"
"186",353,"M2168",0.58,"Yes"
"187",353,"M2203",0,"No"
"188",353,"M2493",0,"No"
"189",353,"M3123",0.22,"Yes"
"190",353,"M3126",0,"No"
"191",353,"M3172",0.1,"No"
"192",353,"M3342",0.39,"Yes"
"193",353,"M3437",0.05,"No"
"194",353,"M3456",0.21,"Yes"
"195",353,"M382",0.36,"Yes"
"196",353,"M3868",0.01,"No"
"197",417,"M1008",0,"No"
"198",417,"M1707",0,"No"
"199",417,"M1883",0,"No"
"200",417,"M2168",0.06,"Yes"
"201",417,"M2203",0,"No"
"202",417,"M2493",0,"No"
"203",417,"M3123",0.18,"Yes"
"204",417,"M3126",0,"No"
"205",417,"M3172",0.13,"Yes"
"206",417,"M3342",0.13,"Yes"
"207",417,"M3437",0.03,"No"
"208",417,"M3456",0.21,"Yes"
"209",417,"M382",0.03,"No"
"210",417,"M3868",0.04,"No"
"211",421,"M1008",0,"No"
"212",421,"M1707",0,"No"
"213",421,"M1883",0,"No"
"214",421,"M2168",0.05,"No"
"215",421,"M2203",0,"No"
"216",421,"M2493",0,"No"
"217",421,"M3123",0.01,"No"
"218",421,"M3126",0,"No"
"219",421,"M3172",0.16,"Yes"
"220",421,"M3342",0.31,"Yes"
"221",421,"M3437",0.44,"Yes"
"222",421,"M3456",0.55,"Yes"
"223",421,"M382",0.23,"Yes"
"224",421,"M3868",0.06,"No"
"225",441,"M1008",0,"No"
"226",441,"M1707",0.01,"No"
"227",441,"M1883",0,"No"
"228",441,"M2168",0.03,"No"
"229",441,"M2203",0,"No"
"230",441,"M2493",0,"No"
"231",441,"M3123",0.02,"No"
"232",441,"M3126",0.01,"No"
"233",441,"M3172",0.6,"Yes"
"234",441,"M3342",0.39,"Yes"
"235",441,"M3437",0.08,"Yes"
"236",441,"M3456",0.4,"Yes"
"237",441,"M382",0,"No"
"238",441,"M3868",0.1,"Yes"
"239",450,"M1008",0.04,"No"
"240",450,"M1707",0,"No"
"241",450,"M1883",0,"No"
"242",450,"M2168",0.17,"Yes"
"243",450,"M2203",0,"No"
"244",450,"M2493",0,"No"
"245",450,"M3123",0.04,"No"
"246",450,"M3126",0.01,"No"
"247",450,"M3172",0.28,"Yes"
"248",450,"M3342",0.25,"Yes"
"249",450,"M3437",0.25,"Yes"
"250",450,"M3456",0.09,"No"
"251",450,"M382",0.33,"Yes"
"252",450,"M3868",0.05,"No"
"253",473,"M1008",0.03,"No"
"254",473,"M1707",0,"No"
"255",473,"M1883",0,"No"
"256",473,"M2168",0.58,"Yes"
"257",473,"M2203",0,"No"
"258",473,"M2493",0,"No"
"259",473,"M3123",0.04,"Yes"
"260",473,"M3126",0,"No"
"261",473,"M3172",0.63,"Yes"
"262",473,"M3342",0.01,"No"
"263",473,"M3437",0.01,"No"
"264",473,"M3456",0.47,"Yes"
"265",473,"M382",0.04,"No"
"266",473,"M3868",0.21,"Yes"
"267",546,"M1008",0.1,"No"
"268",546,"M1707",0.01,"No"
"269",546,"M1883",0,"No"
"270",546,"M2168",0.4,"Yes"
"271",546,"M2203",0.02,"No"
"272",546,"M2493",0,"No"
"273",546,"M3123",0.22,"Yes"
"274",546,"M3126",0.13,"No"
"275",546,"M3172",0.18,"No"
"276",546,"M3342",0.54,"Yes"
"277",546,"M3437",0.11,"No"
"278",546,"M3456",0.11,"No"
"279",546,"M382",0.45,"Yes"
"280",546,"M3868",0.52,"Yes"
"281",650,"M1008",0,"No"
"282",650,"M1707",0.01,"No"
"283",650,"M1883",0.01,"No"
"284",650,"M2168",0.05,"No"
"285",650,"M2203",0,"No"
"286",650,"M2493",0,"No"
"287",650,"M3123",0.06,"No"
"288",650,"M3126",0.02,"No"
"289",650,"M3172",0.14,"Yes"
"290",650,"M3342",0.1,"Yes"
"291",650,"M3437",0.51,"Yes"
"292",650,"M3456",0.38,"Yes"
"293",650,"M382",0.07,"Yes"
"294",650,"M3868",0.02,"No"
"295",682,"M1008",0.04,"No"
"296",682,"M1707",0,"No"
"297",682,"M1883",0.01,"No"
"298",682,"M2168",0.5,"Yes"
"299",682,"M2203",0.02,"No"
"300",682,"M2493",0,"No"
"301",682,"M3123",0.06,"No"
"302",682,"M3126",0,"No"
"303",682,"M3172",0.59,"Yes"
"304",682,"M3342",0.37,"Yes"
"305",682,"M3437",0.06,"No"
"306",682,"M3456",0.38,"Yes"
"307",682,"M382",0.12,"Yes"
"308",682,"M3868",0.03,"No"
"309",914,"M1008",0,"No"
"310",914,"M1707",0,"No"
"311",914,"M1883",0.01,"No"
"312",914,"M2168",0.07,"Yes"
"313",914,"M2203",0.01,"No"
"314",914,"M2493",0,"No"
"315",914,"M3123",0.04,"No"
"316",914,"M3126",0,"No"
"317",914,"M3172",0.77,"Yes"
"318",914,"M3342",0.03,"No"
"319",914,"M3437",0.06,"Yes"
"320",914,"M3456",0.52,"Yes"
"321",914,"M382",0.03,"No"
"322",914,"M3868",0.38,"Yes"
"323",987,"M1008",0,"No"
"324",987,"M1707",0,"No"
"325",987,"M1883",0,"No"
"326",987,"M2168",0.06,"Yes"
"327",987,"M2203",0,"No"
"328",987,"M2493",0,"No"
"329",987,"M3123",0.04,"No"
"330",987,"M3126",0,"No"
"331",987,"M3172",0.16,"Yes"
"332",987,"M3342",0.04,"Yes"
"333",987,"M3437",0,"No"
"334",987,"M3456",0.23,"Yes"
"335",987,"M382",0.01,"No"
"336",987,"M3868",0.06,"Yes"
"337",1024,"M1008",0.02,"Yes"
"338",1024,"M1707",0,"No"
"339",1024,"M1883",0,"No"
"340",1024,"M2168",0.16,"Yes"
"341",1024,"M2203",0,"No"
"342",1024,"M2493",0.01,"No"
"343",1024,"M3123",0.01,"No"
"344",1024,"M3126",0,"No"
"345",1024,"M3172",0.07,"Yes"
"346",1024,"M3342",0.01,"No"
"347",1024,"M3437",0.01,"No"
"348",1024,"M3456",0.02,"Yes"
"349",1024,"M382",0,"No"
"350",1024,"M3868",0.15,"Yes"
"351",1093,"M1008",0.03,"No"
"352",1093,"M1707",0,"No"
"353",1093,"M1883",0,"No"
"354",1093,"M2168",0.81,"Yes"
"355",1093,"M2203",0,"No"
"356",1093,"M2493",0,"No"
"357",1093,"M3123",0.3,"Yes"
"358",1093,"M3126",0,"No"
"359",1093,"M3172",0.74,"Yes"
"360",1093,"M3342",0.05,"No"
"361",1093,"M3437",0.07,"No"
"362",1093,"M3456",0.38,"Yes"
"363",1093,"M382",0.43,"Yes"
"364",1093,"M3868",0.11,"No"
"365",1221,"M1008",0,"No"
"366",1221,"M1707",0,"No"
"367",1221,"M1883",0.02,"No"
"368",1221,"M2168",0.65,"Yes"
"369",1221,"M2203",0,"No"
"370",1221,"M2493",0,"No"
"371",1221,"M3123",0.02,"No"
"372",1221,"M3126",0,"No"
"373",1221,"M3172",0.54,"Yes"
"374",1221,"M3342",0.19,"No"
"375",1221,"M3437",0.4,"Yes"
"376",1221,"M3456",0.25,"Yes"
"377",1221,"M382",0.07,"No"
"378",1221,"M3868",0.51,"Yes"
"379",1335,"M1008",0,"No"
"380",1335,"M1707",0,"No"
"381",1335,"M1883",0,"No"
"382",1335,"M2168",0.07,"No"
"383",1335,"M2203",0,"No"
"384",1335,"M2493",0,"No"
"385",1335,"M3123",0.03,"No"
"386",1335,"M3126",0,"No"
"387",1335,"M3172",0.1,"Yes"
"388",1335,"M3342",0.22,"Yes"
"389",1335,"M3437",0.02,"No"
"390",1335,"M3456",0.33,"Yes"
"391",1335,"M382",0.16,"Yes"
"392",1335,"M3868",0.11,"Yes"
"393",1353,"M1008",0.01,"No"
"394",1353,"M1707",0,"No"
"395",1353,"M1883",0.01,"No"
"396",1353,"M2168",0.03,"No"
"397",1353,"M2203",0.02,"No"
"398",1353,"M2493",0,"No"
"399",1353,"M3123",0.03,"No"
"400",1353,"M3126",0.01,"No"
"401",1353,"M3172",0.11,"Yes"
"402",1353,"M3342",0.04,"Yes"
"403",1353,"M3437",0.03,"No"
"404",1353,"M3456",0.08,"Yes"
"405",1353,"M382",0.11,"Yes"
"406",1353,"M3868",0.05,"Yes"
"407",1396,"M1008",0,"No"
"408",1396,"M1707",0.01,"No"
"409",1396,"M1883",0,"No"
"410",1396,"M2168",0.08,"Yes"
"411",1396,"M2203",0,"No"
"412",1396,"M2493",0.03,"No"
"413",1396,"M3123",0.03,"No"
"414",1396,"M3126",0,"No"
"415",1396,"M3172",0.09,"Yes"
"416",1396,"M3342",0.06,"Yes"
"417",1396,"M3437",0,"No"
"418",1396,"M3456",0.04,"Yes"
"419",1396,"M382",0.01,"No"
"420",1396,"M3868",0.03,"Yes"
"421",1705,"M1008",0.01,"No"
"422",1705,"M1707",0,"No"
"423",1705,"M1883",0.02,"No"
"424",1705,"M2168",0.06,"No"
"425",1705,"M2203",0.01,"No"
"426",1705,"M2493",0.01,"No"
"427",1705,"M3123",0.05,"No"
"428",1705,"M3126",0.01,"No"
"429",1705,"M3172",0.13,"Yes"
"430",1705,"M3342",0.44,"Yes"
"431",1705,"M3437",0.11,"Yes"
"432",1705,"M3456",0.19,"Yes"
"433",1705,"M382",0.19,"Yes"
"434",1705,"M3868",0.02,"No"
"435",1878,"M1008",0.02,"No"
"436",1878,"M1707",0.02,"No"
"437",1878,"M1883",0,"No"
"438",1878,"M2168",0.26,"Yes"
"439",1878,"M2203",0,"No"
"440",1878,"M2493",0,"No"
"441",1878,"M3123",0.28,"Yes"
"442",1878,"M3126",0.03,"No"
"443",1878,"M3172",0.33,"Yes"
"444",1878,"M3342",0.07,"No"
"445",1878,"M3437",0.13,"No"
"446",1878,"M3456",0.38,"Yes"
"447",1878,"M382",0.23,"No"
"448",1878,"M3868",0.25,"Yes"
"449",1951,"M1008",0,"No"
"450",1951,"M1707",0,"No"
"451",1951,"M1883",0,"No"
"452",1951,"M2168",0.02,"No"
"453",1951,"M2203",0,"No"
"454",1951,"M2493",0.01,"No"
"455",1951,"M3123",0.02,"No"
"456",1951,"M3126",0,"No"
"457",1951,"M3172",0.06,"No"
"458",1951,"M3342",0.07,"No"
"459",1951,"M3437",0,"No"
"460",1951,"M3456",0.01,"No"
"461",1951,"M382",0,"No"
"462",1951,"M3868",0.05,"No"
"463",1952,"M1008",0.03,"No"
"464",1952,"M1707",0,"No"
"465",1952,"M1883",0,"No"
"466",1952,"M2168",0.09,"No"
"467",1952,"M2203",0,"No"
"468",1952,"M2493",0,"No"
"469",1952,"M3123",0.07,"No"
"470",1952,"M3126",0.02,"No"
"471",1952,"M3172",0.11,"Yes"
"472",1952,"M3342",0.54,"Yes"
"473",1952,"M3437",0.21,"Yes"
"474",1952,"M3456",0.41,"Yes"
"475",1952,"M382",0.44,"Yes"
"476",1952,"M3868",0.02,"No"
"477",1955,"M1008",0,"No"
"478",1955,"M1707",0,"No"
"479",1955,"M1883",0.01,"No"
"480",1955,"M2168",0.02,"No"
"481",1955,"M2203",0,"No"
"482",1955,"M2493",0,"No"
"483",1955,"M3123",0.01,"No"
"484",1955,"M3126",0,"No"
"485",1955,"M3172",0.06,"No"
"486",1955,"M3342",0.07,"No"
"487",1955,"M3437",0.02,"No"
"488",1955,"M3456",0.02,"No"
"489",1955,"M382",0.02,"No"
"490",1955,"M3868",0.02,"No"
"491",2080,"M1008",0,"No"
"492",2080,"M1707",0,"No"
"493",2080,"M1883",0,"No"
"494",2080,"M2168",0.02,"No"
"495",2080,"M2203",0,"No"
"496",2080,"M2493",0,"No"
"497",2080,"M3123",0.05,"No"
"498",2080,"M3126",0,"No"
"499",2080,"M3172",0.02,"No"
"500",2080,"M3342",0,"No"
"501",2080,"M3437",0.02,"No"
"502",2080,"M3456",0.02,"No"
"503",2080,"M382",0.04,"No"
"504",2080,"M3868",0.01,"No"
"505",2129,"M1008",0.06,"No"
"506",2129,"M1707",0.02,"No"
"507",2129,"M1883",0,"No"
"508",2129,"M2168",0.48,"Yes"
"509",2129,"M2203",0,"No"
"510",2129,"M2493",0,"No"
"511",2129,"M3123",0.03,"No"
"512",2129,"M3126",0.02,"No"
"513",2129,"M3172",0.64,"Yes"
"514",2129,"M3342",0.18,"Yes"
"515",2129,"M3437",0.07,"No"
"516",2129,"M3456",0.72,"Yes"
"517",2129,"M382",0.3,"Yes"
"518",2129,"M3868",0.1,"No"
"519",2153,"M1008",0.04,"Yes"
"520",2153,"M1707",0,"No"
"521",2153,"M1883",0,"No"
"522",2153,"M2168",0.02,"No"
"523",2153,"M2203",0,"No"
"524",2153,"M2493",0,"No"
"525",2153,"M3123",0.02,"No"
"526",2153,"M3126",0,"No"
"527",2153,"M3172",0.04,"Yes"
"528",2153,"M3342",0,"No"
"529",2153,"M3437",0.03,"Yes"
"530",2153,"M3456",0.04,"Yes"
"531",2153,"M382",0.28,"Yes"
"532",2153,"M3868",0,"No"
"533",2215,"M1008",0.19,"Yes"
"534",2215,"M1707",0,"No"
"535",2215,"M1883",0,"No"
"536",2215,"M2168",0.1,"Yes"
"537",2215,"M2203",0,"No"
"538",2215,"M2493",0.01,"No"
"539",2215,"M3123",0.02,"No"
"540",2215,"M3126",0,"No"
"541",2215,"M3172",0.04,"Yes"
"542",2215,"M3342",0.04,"Yes"
"543",2215,"M3437",0,"No"
"544",2215,"M3456",0.07,"Yes"
"545",2215,"M382",0.01,"No"
"546",2215,"M3868",0.01,"No"
"547",2242,"M1008",0,"No"
"548",2242,"M1707",0,"No"
"549",2242,"M1883",0,"No"
"550",2242,"M2168",0.63,"Yes"
"551",2242,"M2203",0,"No"
"552",2242,"M2493",0,"No"
"553",2242,"M3123",0.11,"Yes"
"554",2242,"M3126",0,"No"
"555",2242,"M3172",0.57,"Yes"
"556",2242,"M3342",0.29,"Yes"
"557",2242,"M3437",0.04,"No"
"558",2242,"M3456",0.07,"Yes"
"559",2242,"M382",0.02,"No"
"560",2242,"M3868",0.05,"No"
"561",2443,"M1008",0.05,"No"
"562",2443,"M1707",0,"No"
"563",2443,"M1883",0,"No"
"564",2443,"M2168",0.3,"Yes"
"565",2443,"M2203",0,"No"
"566",2443,"M2493",0,"No"
"567",2443,"M3123",0.21,"Yes"
"568",2443,"M3126",0,"No"
"569",2443,"M3172",0.42,"Yes"
"570",2443,"M3342",0.35,"Yes"
"571",2443,"M3437",0.07,"No"
"572",2443,"M3456",0.82,"Yes"
"573",2443,"M382",0.1,"No"
"574",2443,"M3868",0.17,"No"
"575",2504,"M1008",0,"No"
"576",2504,"M1707",0,"No"
"577",2504,"M1883",0,"No"
"578",2504,"M2168",0,"No"
"579",2504,"M2203",0.01,"No"
"580",2504,"M2493",0,"No"
"581",2504,"M3123",0,"No"
"582",2504,"M3126",0,"No"
"583",2504,"M3172",0,"No"
"584",2504,"M3342",0.01,"No"
"585",2504,"M3437",0,"No"
"586",2504,"M3456",0.01,"No"
"587",2504,"M382",0,"No"
"588",2504,"M3868",0,"No"
"589",2658,"M1008",0.01,"No"
"590",2658,"M1707",0,"No"
"591",2658,"M1883",0.01,"No"
"592",2658,"M2168",0.03,"No"
"593",2658,"M2203",0.02,"No"
"594",2658,"M2493",0,"No"
"595",2658,"M3123",0,"No"
"596",2658,"M3126",0,"No"
"597",2658,"M3172",0.14,"Yes"
"598",2658,"M3342",0.04,"Yes"
"599",2658,"M3437",0.06,"Yes"
"600",2658,"M3456",0.08,"Yes"
"601",2658,"M382",0.22,"Yes"
"602",2658,"M3868",0.02,"No"
"603",2701,"M1008",0,"No"
"604",2701,"M1707",0,"No"
"605",2701,"M1883",0,"No"
"606",2701,"M2168",0.29,"Yes"
"607",2701,"M2203",0,"No"
"608",2701,"M2493",0,"No"
"609",2701,"M3123",0.13,"Yes"
"610",2701,"M3126",0.01,"No"
"611",2701,"M3172",0.42,"Yes"
"612",2701,"M3342",0.03,"Yes"
"613",2701,"M3437",0.02,"No"
"614",2701,"M3456",0.28,"Yes"
"615",2701,"M382",0,"No"
"616",2701,"M3868",0.02,"No"
"617",2750,"M1008",0.01,"No"
"618",2750,"M1707",0.01,"No"
"619",2750,"M1883",0,"No"
"620",2750,"M2168",0.05,"Yes"
"621",2750,"M2203",0,"No"
"622",2750,"M2493",0,"No"
"623",2750,"M3123",0.03,"No"
"624",2750,"M3126",0.01,"No"
"625",2750,"M3172",0.15,"Yes"
"626",2750,"M3342",0.13,"Yes"
"627",2750,"M3437",0.05,"No"
"628",2750,"M3456",0.05,"Yes"
"629",2750,"M382",0.03,"No"
"630",2750,"M3868",0.13,"Yes"
"631",2761,"M1008",0.04,"No"
"632",2761,"M1707",0.01,"No"
"633",2761,"M1883",0,"No"
"634",2761,"M2168",0.19,"Yes"
"635",2761,"M2203",0,"No"
"636",2761,"M2493",0,"No"
"637",2761,"M3123",0.02,"No"
"638",2761,"M3126",0,"No"
"639",2761,"M3172",0.76,"Yes"
"640",2761,"M3342",0.49,"Yes"
"641",2761,"M3437",0.07,"No"
"642",2761,"M3456",0.52,"Yes"
"643",2761,"M382",0.08,"No"
"644",2761,"M3868",0.23,"Yes"
"645",2973,"M1008",0.02,"No"
"646",2973,"M1707",0,"No"
"647",2973,"M1883",0,"No"
"648",2973,"M2168",0.21,"Yes"
"649",2973,"M2203",0,"No"
"650",2973,"M2493",0,"No"
"651",2973,"M3123",0.03,"No"
"652",2973,"M3126",0.01,"No"
"653",2973,"M3172",0.62,"Yes"
"654",2973,"M3342",0.36,"Yes"
"655",2973,"M3437",0.11,"Yes"
"656",2973,"M3456",0.13,"Yes"
"657",2973,"M382",0.09,"No"
"658",2973,"M3868",0.01,"No"
"659",3003,"M1008",0,"No"
"660",3003,"M1707",0,"No"
"661",3003,"M1883",0.01,"No"
"662",3003,"M2168",0.5,"Yes"
"663",3003,"M2203",0,"No"
"664",3003,"M2493",0,"No"
"665",3003,"M3123",0.05,"No"
"666",3003,"M3126",0,"No"
"667",3003,"M3172",0.15,"Yes"
"668",3003,"M3342",0.22,"Yes"
"669",3003,"M3437",0.04,"No"
"670",3003,"M3456",0.17,"Yes"
"671",3003,"M382",0.18,"Yes"
"672",3003,"M3868",0.1,"No"
"673",3021,"M1008",0.01,"No"
"674",3021,"M1707",0,"No"
"675",3021,"M1883",0,"No"
"676",3021,"M2168",0.15,"No"
"677",3021,"M2203",0,"No"
"678",3021,"M2493",0,"No"
"679",3021,"M3123",0.06,"No"
"680",3021,"M3126",0.17,"Yes"
"681",3021,"M3172",0.18,"Yes"
"682",3021,"M3342",0.17,"Yes"
"683",3021,"M3437",0.05,"No"
"684",3021,"M3456",0.26,"Yes"
"685",3021,"M382",0.14,"No"
"686",3021,"M3868",0.21,"Yes"
"687",3037,"M1008",0.03,"No"
"688",3037,"M1707",0,"No"
"689",3037,"M1883",0.01,"No"
"690",3037,"M2168",0.16,"Yes"
"691",3037,"M2203",0,"No"
"692",3037,"M2493",0,"No"
"693",3037,"M3123",0.04,"No"
"694",3037,"M3126",0,"No"
"695",3037,"M3172",0.15,"Yes"
"696",3037,"M3342",0.36,"Yes"
"697",3037,"M3437",0.07,"No"
"698",3037,"M3456",0.1,"Yes"
"699",3037,"M382",0.2,"Yes"
"700",3037,"M3868",0.08,"No"
"701",3050,"M1008",0.01,"No"
"702",3050,"M1707",0,"No"
"703",3050,"M1883",0,"No"
"704",3050,"M2168",0.34,"Yes"
"705",3050,"M2203",0,"No"
"706",3050,"M2493",0,"No"
"707",3050,"M3123",0.07,"No"
"708",3050,"M3126",0,"No"
"709",3050,"M3172",0.27,"Yes"
"710",3050,"M3342",0.03,"No"
"711",3050,"M3437",0.04,"No"
"712",3050,"M3456",0.1,"Yes"
"713",3050,"M382",0.12,"Yes"
"714",3050,"M3868",0.5,"Yes"
"715",3122,"M1008",0.02,"No"
"716",3122,"M1707",0,"No"
"717",3122,"M1883",0,"No"
"718",3122,"M2168",0.76,"Yes"
"719",3122,"M2203",0,"No"
"720",3122,"M2493",0,"No"
"721",3122,"M3123",0.21,"No"
"722",3122,"M3126",0.24,"No"
"723",3122,"M3172",0.4,"Yes"
"724",3122,"M3342",0.66,"Yes"
"725",3122,"M3437",0.28,"No"
"726",3122,"M3456",0.33,"Yes"
"727",3122,"M382",0.4,"Yes"
"728",3122,"M3868",0.32,"No"
"729",3171,"M1008",0.01,"No"
"730",3171,"M1707",0,"No"
"731",3171,"M1883",0.01,"No"
"732",3171,"M2168",0.03,"No"
"733",3171,"M2203",0,"No"
"734",3171,"M2493",0,"No"
"735",3171,"M3123",0.01,"No"
"736",3171,"M3126",0,"No"
"737",3171,"M3172",0.13,"Yes"
"738",3171,"M3342",0.16,"Yes"
"739",3171,"M3437",0.04,"Yes"
"740",3171,"M3456",0.05,"Yes"
"741",3171,"M382",0.11,"Yes"
"742",3171,"M3868",0.03,"No"
"743",3304,"M1008",0.01,"No"
"744",3304,"M1707",0,"No"
"745",3304,"M1883",0.01,"No"
"746",3304,"M2168",0.13,"Yes"
"747",3304,"M2203",0,"No"
"748",3304,"M2493",0.01,"No"
"749",3304,"M3123",0.03,"No"
"750",3304,"M3126",0.01,"No"
"751",3304,"M3172",0.09,"No"
"752",3304,"M3342",0.09,"Yes"
"753",3304,"M3437",0.14,"Yes"
"754",3304,"M3456",0.41,"Yes"
"755",3304,"M382",0.13,"Yes"
